Features, Ratio
investigators,                  67.6  
bail,                  55.0  
client,                  55.0  
arraigned,                  48.7  
arraignment,                  48.7  
felony,                  45.6  
guns,                  45.6  
shootings,                  42.4  
weapon,                  42.4  
fatal,                  39.3  
firearm,                  39.3  
killings,                  36.2  
suspect,                  36.2  
violent,                  34.4  
investigated,                  33.0  
misdemeanor,                  33.0  
sentences,                  33.0  
victim,                  30.4  
assaults,                  29.9  
policing,                  29.9  
investigators,                  67.6  
arraigned,                  48.7  
arraignment,                  48.7  
violent,                  48.1  
felony,                  45.6  
shootings,                  42.4  
weapon,                  42.4  
firearm,                  39.3  
killings,                  36.2  
suspect,                  36.2  
investigated,                  33.0  
misdemeanor,                  33.0  
client,                  33.0  
assaults,                  29.9  
policing,                  29.9  
guns,                  27.4  
gunman,                  26.7  
overdose,                  26.7  
plea,                  26.7  
victim,                  25.8  
investigators,                  67.6  
arraigned,                  48.7  
arraignment,                  48.7  
felony,                  45.6  
shootings,                  42.4  
weapon,                  42.4  
firearm,                  39.3  
killings,                  36.2  
suspect,                  36.2  
violent,                  34.4  
misdemeanor,                  33.0  
client,                  33.0  
detectives,                  31.7  
assaults,                  29.9  
gunman,                  26.7  
homeland,                  26.7  
overdose,                  26.7  
plea,                  26.7  
victim,                  25.8  
gangs,                  24.9  
investigators,                  67.6  
arraigned,                  48.7  
arraignment,                  48.7  
felony,                  45.6  
weapon,                  42.4  
firearm,                  39.3  
sentence,                  39.3  
victim,                  37.2  
killings,                  36.2  
suspect,                  36.2  
violent,                  34.4  
investigated,                  33.0  
misdemeanor,                  33.0  
sentences,                  33.0  
client,                  33.0  
detectives,                  31.7  
assaults,                  29.9  
policing,                  29.9  
gunman,                  26.7  
overdose,                  26.7  
investigators,                  67.6  
arraigned,                  48.7  
arraignment,                  48.7  
felony,                  45.6  
shootings,                  42.4  
weapon,                  42.4  
firearm,                  39.3  
killings,                  36.2  
suspect,                  36.2  
violent,                  34.4  
investigated,                  33.0  
misdemeanor,                  33.0  
client,                  33.0  
assaults,                  29.9  
policing,                  29.9  
addiction,                  26.7  
gunman,                  26.7  
homeland,                  26.7  
plea,                  26.7  
victim,                  25.8  
investigators,                  67.6  
arraigned,                  48.7  
arraignment,                  48.7  
shootings,                  42.4  
weapon,                  42.4  
firearm,                  39.3  
soler,                  39.3  
killings,                  36.2  
violent,                  34.4  
investigated,                  33.0  
misdemeanor,                  33.0  
suspected,                  33.0  
client,                  33.0  
victim,                  30.4  
assaults,                  29.9  
policing,                  29.9  
sentenced,                  29.9  
gunman,                  26.7  
overdose,                  26.7  
plea,                  26.7  
investigators,                  67.6  
client,                  55.0  
arraigned,                  48.7  
arraignment,                  48.7  
felony,                  45.6  
shootings,                  42.4  
weapon,                  42.4  
firearm,                  39.3  
killings,                  36.2  
suspect,                  36.2  
violent,                  34.4  
investigated,                  33.0  
misdemeanor,                  33.0  
assaults,                  29.9  
policing,                  29.9  
guns,                  27.4  
gunman,                  26.7  
overdose,                  26.7  
plea,                  26.7  
victim,                  25.8  
investigators,                  67.6  
arraignment,                  48.7  
felony,                  45.6  
shootings,                  42.4  
weapon,                  42.4  
firearm,                  39.3  
killings,                  36.2  
suspect,                  36.2  
violent,                  34.4  
investigated,                  33.0  
misdemeanor,                  33.0  
client,                  33.0  
detectives,                  31.7  
assaults,                  29.9  
policing,                  29.9  
sentenced,                  29.9  
gunman,                  26.7  
overdose,                  26.7  
plea,                  26.7  
victim,                  25.8  
arraigned,                  48.7  
arraignment,                  48.7  
felony,                  45.6  
shootings,                  42.4  
weapon,                  42.4  
firearm,                  39.3  
suspect,                  36.2  
violent,                  34.4  
investigated,                  33.0  
misdemeanor,                  33.0  
client,                  33.0  
assaults,                  29.9  
policing,                  29.9  
addiction,                  26.7  
gunman,                  26.7  
victim,                  25.8  
gangs,                  24.9  
detectives,                  24.6  
fled,                  23.6  
lilian,                  23.6  
investigators,                  67.6  
arraigned,                  48.7  
arraignment,                  48.7  
violent,                  48.1  
felony,                  45.6  
shootings,                  42.4  
weapon,                  42.4  
firearm,                  39.3  
soler,                  39.3  
killings,                  36.2  
suspect,                  36.2  
gangs,                  34.9  
investigated,                  33.0  
misdemeanor,                  33.0  
bail,                  33.0  
client,                  33.0  
detectives,                  31.7  
assaults,                  29.9  
policing,                  29.9  
gunman,                  26.7  
investigators,                  67.6  
arraigned,                  48.7  
arraignment,                  48.7  
felony,                  45.6  
shootings,                  42.4  
firearm,                  39.3  
killings,                  36.2  
suspect,                  36.2  
violent,                  34.4  
investigated,                  33.0  
misdemeanor,                  33.0  
bail,                  33.0  
client,                  33.0  
victim,                  30.4  
assaults,                  29.9  
policing,                  29.9  
gunman,                  26.7  
overdose,                  26.7  
plea,                  26.7  
gangs,                  24.9  
investigators,                  67.6  
client,                  55.0  
arraigned,                  48.7  
arraignment,                  48.7  
violent,                  48.1  
felony,                  45.6  
detectives,                  44.3  
weapon,                  42.4  
firearm,                  39.3  
killings,                  36.2  
suspect,                  36.2  
investigated,                  33.0  
misdemeanor,                  33.0  
sentences,                  33.0  
assaults,                  29.9  
policing,                  29.9  
guns,                  27.4  
gunman,                  26.7  
